,Open,High,Low,Volume,Dividends,Stock Splits,Adjusted Close,compound,negative,neutral,positive
2012-11-08,11.164285659790039,11.475713729858398,10.827142715454102,33381600,0.0,1.0,10.852856636047363,-0.9997,0.13,0.785,0.084
2012-11-09,10.901429176330566,11.268570899963379,10.872857093811035,23272900,0.0,1.0,11.128570556640625,-0.9998,0.122,0.805,0.074
2012-11-12,11.285714149475098,11.472857475280762,11.144286155700684,18330200,0.0,1.0,11.170000076293945,-0.9995,0.135,0.763,0.101
2012-11-13,11.119999885559082,11.562856674194336,11.04857063293457,27170500,0.0,1.0,11.372857093811035,-0.9992,0.132,0.772,0.096
2012-11-14,11.428570747375488,11.617142677307129,11.25,26910800,0.0,1.0,11.397143363952637,-0.9992,0.141,0.755,0.104
2012-11-15,11.444286346435547,11.699999809265137,11.35714340209961,17400600,0.0,1.0,11.640000343322754,-0.9998,0.141,0.775,0.084
2012-11-16,11.611429214477539,11.871429443359375,11.474286079406738,32164300,0.0,1.0,11.557143211364746,-0.9998,0.133,0.786,0.081
2012-11-19,11.715714454650879,11.855713844299316,11.449999809265137,23267300,0.0,1.0,11.622857093811035,-0.9995,0.133,0.769,0.098
2012-11-20,11.644286155700684,11.95714282989502,11.588570594787598,15340500,0.0,1.0,11.771429061889648,-0.9997,0.131,0.786,0.083
2012-11-21,11.785714149475098,12.079999923706055,11.785714149475098,10889900,0.0,1.0,11.85714340209961,-0.9999,0.152,0.774,0.074
2012-11-23,11.915714263916016,11.964285850524902,11.739999771118164,8396500,0.0,1.0,11.850000381469727,-0.9999,0.156,0.771,0.073
2012-11-26,11.800000190734863,11.84000015258789,11.438570976257324,13484100,0.0,1.0,11.722857475280762,-0.9993,0.121,0.791,0.088
2012-11-27,11.718570709228516,11.928570747375488,11.651429176330566,15524600,0.0,1.0,11.868571281433105,-0.9999,0.157,0.756,0.087
2012-11-28,11.821429252624512,11.938570976257324,11.687143325805664,14495600,0.0,1.0,11.747142791748047,-0.9998,0.145,0.774,0.081
2012-11-29,11.770000457763672,11.825714111328125,11.54285717010498,11473000,0.0,1.0,11.625714302062988,-0.9997,0.141,0.765,0.094
2012-11-30,11.5,11.672857284545898,11.332857131958008,14986300,0.0,1.0,11.672857284545898,-0.9997,0.133,0.782,0.085
2012-12-03,11.692856788635254,11.710000038146973,10.785714149475098,29197700,0.0,1.0,10.85714340209961,-0.9996,0.135,0.771,0.094
2012-12-04,10.787142753601074,12.571429252624512,10.64285659790039,101757600,0.0,1.0,12.378570556640625,-0.9996,0.124,0.795,0.081
2012-12-05,12.371429443359375,12.511428833007812,11.84571361541748,59357900,0.0,1.0,11.90999984741211,-0.9999,0.148,0.785,0.067
2012-12-06,11.742856979370117,12.651429176330566,11.671428680419922,38103800,0.0,1.0,12.3100004196167,-0.9999,0.142,0.783,0.074
2012-12-07,12.609999656677246,12.825714111328125,12.184286117553711,34780200,0.0,1.0,12.282856941223145,-0.9999,0.154,0.77,0.076
2012-12-10,12.285714149475098,12.428570747375488,12.071429252624512,14322700,0.0,1.0,12.114286422729492,-0.9998,0.14,0.778,0.082
2012-12-11,12.185713768005371,12.46142864227295,12.057143211364746,16028600,0.0,1.0,12.29714298248291,-0.9999,0.161,0.765,0.074
2012-12-12,12.324286460876465,13.307143211364746,12.277142524719238,54929000,0.0,1.0,12.96142864227295,-0.9997,0.135,0.78,0.085
